 H: 4.00deg  R: 0.31deg  P: 109.38deg  aX: 0.04m/s2  aY: -9.27m/s2  aZ: -3.22m/s2 
 H: 4.00deg  R: 0.31deg  P: 109.38deg  aX: 0.16m/s2  aY: -9.45m/s2  aZ: -3.17m/s2 
 H: 4.00deg  R: 0.31deg  P: 109.38deg  aX: 0.10m/s2  aY: -9.31m/s2  aZ: -3.38m/s2 
 H: 4.00deg  R: 0.31deg  P: 109.38deg  aX: 0.15m/s2  aY: -9.17m/s2  aZ: -3.25m/s2 
 H: 4.06deg  R: 0.38deg  P: 109.38deg  aX: 0.05m/s2  aY: -9.05m/s2  aZ: -3.19m/s2 
 H: 4.06deg  R: 0.38deg  P: 109.38deg  aX: 0.13m/s2  aY: -9.33m/s2  aZ: -3.22m/s2 
 H: 4.06deg  R: 0.38deg  P: 109.38deg  aX: 0.09m/s2  aY: -9.09m/s2  aZ: -3.22m/s2 
 H: 4.13deg  R: 0.38deg  P: 109.38deg  aX: 0.12m/s2  aY: -9.36m/s2  aZ: -3.11m/s2 
 H: 4.13deg  R: 0.44deg  P: 109.38deg  aX: 0.14m/s2  aY: -9.35m/s2  aZ: -3.15m/s2 
 H: 4.19deg  R: 0.44deg  P: 109.38deg  aX: 0.14m/s2  aY: -9.50m/s2  aZ: -3.19m/s2 
 H: 4.19deg  R: 0.50deg  P: 109.44deg  aX: 0.23m/s2  aY: -9.32m/s2  aZ: -3.21m/s2 
 H: 4.19deg  R: 0.50deg  P: 109.44deg  aX: 0.09m/s2  aY: -9.18m/s2  aZ: -3.18m/s2 
 H: 4.25deg  R: 0.56deg  P: 109.44deg  aX: 0.23m/s2  aY: -9.46m/s2  aZ: -3.17m/s2 
 H: 4.25deg  R: 0.56deg  P: 109.38deg  aX: 0.26m/s2  aY: -9.34m/s2  aZ: -3.09m/s2 
 H: 4.31deg  R: 0.63deg  P: 109.31deg  aX: 0.08m/s2  aY: -9.28m/s2  aZ: -3.32m/s2 
 H: 4.31deg  R: 0.69deg  P: 109.25deg  aX: 0.25m/s2  aY: -9.07m/s2  aZ: -3.13m/s2 
 H: 4.38deg  R: 0.75deg  P: 109.19deg  aX: 0.27m/s2  aY: -9.48m/s2  aZ: -3.14m/s2 
 H: 4.44deg  R: 0.75deg  P: 109.19deg  aX: 0.27m/s2  aY: -9.31m/s2  aZ: -3.03m/s2 
 H: 4.44deg  R: 0.75deg  P: 109.19deg  aX: 0.18m/s2  aY: -9.15m/s2  aZ: -3.14m/s2 
 H: 4.31deg  R: 0.69deg  P: 109.25deg  aX: 0.18m/s2  aY: -9.04m/s2  aZ: -3.07m/s2 
 H: 4.31deg  R: 0.69deg  P: 109.25deg  aX: 0.21m/s2  aY: -9.52m/s2  aZ: -3.13m/s2 
 H: 4.25deg  R: 0.63deg  P: 109.38deg  aX: 0.23m/s2  aY: -9.44m/s2  aZ: -3.26m/s2 
 H: 4.25deg  R: 0.56deg  P: 109.44deg  aX: 0.22m/s2  aY: -9.14m/s2  aZ: -3.30m/s2 
 H: 4.13deg  R: 0.50deg  P: 109.50deg  aX: 0.06m/s2  aY: -9.15m/s2  aZ: -3.16m/s2 
 H: 4.06deg  R: 0.50deg  P: 109.56deg  aX: 0.15m/s2  aY: -9.28m/s2  aZ: -3.02m/s2 
 H: 4.06deg  R: 0.44deg  P: 109.63deg  aX: 0.12m/s2  aY: -9.44m/s2  aZ: -3.31m/s2 
 H: 4.00deg  R: 0.38deg  P: 109.69deg  aX: 0.11m/s2  aY: -9.27m/s2  aZ: -3.30m/s2 
 H: 3.94deg  R: 0.38deg  P: 109.69deg  aX: 0.10m/s2  aY: -9.18m/s2  aZ: -3.22m/s2 
 H: 3.94deg  R: 0.31deg  P: 109.69deg  aX: 0.11m/s2  aY: -9.02m/s2  aZ: -3.25m/s2 
 H: 3.88deg  R: 0.31deg  P: 109.75deg  aX: 0.13m/s2  aY: -9.50m/s2  aZ: -3.27m/s2 
 H: 3.88deg  R: 0.31deg  P: 109.75deg  aX: 0.19m/s2  aY: -9.35m/s2  aZ: -3.19m/s2 
 H: 3.81deg  R: 0.25deg  P: 109.75deg  aX: 0.10m/s2  aY: -9.15m/s2  aZ: -3.13m/s2 
 H: 3.75deg  R: 0.19deg  P: 109.75deg  aX: 0.08m/s2  aY: -9.34m/s2  aZ: -3.43m/s2 
 H: 3.75deg  R: 0.19deg  P: 109.75deg  aX: 0.06m/s2  aY: -9.51m/s2  aZ: -3.14m/s2 
 H: 3.75deg  R: 0.19deg  P: 109.75deg  aX: 0.10m/s2  aY: -9.28m/s2  aZ: -3.24m/s2 
 H: 3.69deg  R: 0.13deg  P: 109.75deg  aX: 0.11m/s2  aY: -9.17m/s2  aZ: -3.14m/s2 
 H: 3.69deg  R: 0.13deg  P: 109.75deg  aX: 0.12m/s2  aY: -9.15m/s2  aZ: -3.15m/s2 
 H: 3.69deg  R: 0.06deg  P: 109.75deg  aX: 0.02m/s2  aY: -9.31m/s2  aZ: -3.23m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: 0.11m/s2  aY: -9.17m/s2  aZ: -3.21m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: 0.06m/s2  aY: -9.17m/s2  aZ: -3.21m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: 0.10m/s2  aY: -9.34m/s2  aZ: -3.25m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: 0.04m/s2  aY: -9.26m/s2  aZ: -3.17m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: 0.09m/s2  aY: -9.37m/s2  aZ: -3.15m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: 0.02m/s2  aY: -9.40m/s2  aZ: -3.17m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: 0.09m/s2  aY: -9.18m/s2  aZ: -3.21m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: -0.05m/s2  aY: -9.35m/s2  aZ: -3.30m/s2 
 H: 3.63deg  R: 0.00deg  P: 109.75deg  aX: 0.00m/s2  aY: -9.33m/s2  aZ: -3.27m/s2 
 H: 3.63deg  R: 0.06deg  P: 109.75deg  aX: 0.13m/s2  aY: -9.45m/s2  aZ: -3.16m/s2 
 H: 3.56deg  R: 0.06deg  P: 109.81deg  aX: 0.16m/s2  aY: -9.32m/s2  aZ: -3.26m/s2 
 H: 3.50deg  R: 0.06deg  P: 109.81deg  aX: 0.15m/s2  aY: -9.18m/s2  aZ: -3.23m/s2 
 H: 3.38deg  R: 0.00deg  P: 109.88deg  aX: 0.03m/s2  aY: -9.08m/s2  aZ: -3.32m/s2 
 H: 3.25deg  R: 0.00deg  P: 109.94deg  aX: 0.29m/s2  aY: -9.06m/s2  aZ: -3.25m/s2 
 H: 3.19deg  R: 0.00deg  P: 109.94deg  aX: 0.26m/s2  aY: -9.31m/s2  aZ: -3.29m/s2 
 H: 3.06deg  R: -0.06deg  P: 110.00deg  aX: 0.07m/s2  aY: -9.39m/s2  aZ: -3.30m/s2 
 H: 2.88deg  R: -0.19deg  P: 110.00deg  aX: -0.01m/s2  aY: -8.95m/s2  aZ: -3.23m/s2 
 H: 2.63deg  R: -0.38deg  P: 110.00deg  aX: 0.05m/s2  aY: -9.37m/s2  aZ: -3.15m/s2 
 H: 2.56deg  R: -0.44deg  P: 110.00deg  aX: -0.27m/s2  aY: -9.24m/s2  aZ: -3.25m/s2 
 H: 2.44deg  R: -0.56deg  P: 110.00deg  aX: -0.22m/s2  aY: -8.94m/s2  aZ: -3.29m/s2 
