 H: 249.75deg  R: -5.31deg  P: 94.06deg  aX: -0.95m/s2  aY: -9.59m/s2  aZ: -0.84m/s2 
 H: 249.44deg  R: -5.69deg  P: 94.13deg  aX: -2.06m/s2  aY: -9.72m/s2  aZ: -0.85m/s2 
 H: 249.38deg  R: -5.69deg  P: 94.13deg  aX: -1.70m/s2  aY: -9.75m/s2  aZ: -1.08m/s2 
 H: 249.31deg  R: -5.81deg  P: 94.19deg  aX: -1.43m/s2  aY: -9.81m/s2  aZ: -0.89m/s2 
 H: 249.13deg  R: -5.94deg  P: 94.25deg  aX: -1.11m/s2  aY: -9.51m/s2  aZ: -0.77m/s2 
 H: 248.94deg  R: -6.00deg  P: 94.25deg  aX: -1.29m/s2  aY: -9.58m/s2  aZ: -0.83m/s2 
 H: 248.88deg  R: -6.06deg  P: 94.19deg  aX: -1.13m/s2  aY: -9.71m/s2  aZ: -0.73m/s2 
 H: 248.69deg  R: -6.13deg  P: 94.19deg  aX: -0.69m/s2  aY: -9.72m/s2  aZ: -0.91m/s2 
 H: 248.63deg  R: -6.19deg  P: 94.19deg  aX: -0.94m/s2  aY: -9.93m/s2  aZ: -0.83m/s2 
 H: 248.63deg  R: -6.25deg  P: 94.19deg  aX: -1.48m/s2  aY: -9.63m/s2  aZ: -0.78m/s2 
 H: 248.56deg  R: -6.25deg  P: 94.13deg  aX: -1.30m/s2  aY: -9.56m/s2  aZ: -0.72m/s2 
 H: 248.56deg  R: -6.25deg  P: 94.06deg  aX: -1.28m/s2  aY: -9.56m/s2  aZ: -0.46m/s2 
 H: 248.56deg  R: -6.25deg  P: 94.06deg  aX: -1.33m/s2  aY: -9.98m/s2  aZ: -0.61m/s2 
 H: 248.69deg  R: -6.25deg  P: 94.00deg  aX: -1.01m/s2  aY: -9.90m/s2  aZ: -0.27m/s2 
 H: 248.69deg  R: -6.25deg  P: 93.94deg  aX: -1.17m/s2  aY: -9.09m/s2  aZ: -0.54m/s2 
 H: 248.75deg  R: -6.19deg  P: 93.94deg  aX: -0.64m/s2  aY: -9.75m/s2  aZ: -0.49m/s2 
 H: 248.88deg  R: -6.06deg  P: 93.94deg  aX: -1.13m/s2  aY: -9.51m/s2  aZ: -0.53m/s2 
 H: 249.06deg  R: -6.00deg  P: 93.94deg  aX: -1.28m/s2  aY: -9.82m/s2  aZ: -0.57m/s2 
 H: 249.25deg  R: -5.88deg  P: 93.94deg  aX: -1.01m/s2  aY: -9.69m/s2  aZ: -0.45m/s2 
 H: 249.25deg  R: -5.94deg  P: 93.94deg  aX: -1.03m/s2  aY: -9.71m/s2  aZ: -0.59m/s2 
 H: 249.25deg  R: -5.94deg  P: 94.00deg  aX: -0.85m/s2  aY: -9.59m/s2  aZ: -0.49m/s2 
 H: 249.19deg  R: -5.94deg  P: 94.00deg  aX: -0.64m/s2  aY: -9.42m/s2  aZ: -0.43m/s2 
 H: 249.19deg  R: -5.94deg  P: 94.06deg  aX: -0.62m/s2  aY: -9.51m/s2  aZ: -0.34m/s2 
 H: 249.19deg  R: -6.00deg  P: 94.06deg  aX: -1.02m/s2  aY: -9.50m/s2  aZ: -0.86m/s2 
 H: 249.13deg  R: -6.00deg  P: 94.13deg  aX: -1.01m/s2  aY: -9.58m/s2  aZ: -0.73m/s2 
 H: 249.06deg  R: -6.13deg  P: 94.19deg  aX: -0.62m/s2  aY: -9.62m/s2  aZ: -0.49m/s2 
 H: 249.00deg  R: -6.19deg  P: 94.25deg  aX: -0.84m/s2  aY: -9.67m/s2  aZ: -0.78m/s2 
 H: 249.00deg  R: -6.25deg  P: 94.31deg  aX: -1.79m/s2  aY: -9.68m/s2  aZ: -0.81m/s2 
 H: 248.94deg  R: -6.31deg  P: 94.31deg  aX: -1.33m/s2  aY: -9.61m/s2  aZ: -0.94m/s2 
 H: 248.88deg  R: -6.38deg  P: 94.38deg  aX: -1.53m/s2  aY: -9.71m/s2  aZ: -0.67m/s2 
 H: 248.75deg  R: -6.50deg  P: 94.38deg  aX: -1.42m/s2  aY: -9.67m/s2  aZ: -0.69m/s2 
 H: 248.56deg  R: -6.63deg  P: 94.44deg  aX: -1.20m/s2  aY: -9.41m/s2  aZ: -0.66m/s2 
 H: 248.56deg  R: -6.69deg  P: 94.44deg  aX: -1.49m/s2  aY: -9.57m/s2  aZ: -0.75m/s2 
 H: 248.44deg  R: -6.75deg  P: 94.50deg  aX: -0.96m/s2  aY: -9.48m/s2  aZ: -0.76m/s2 
 H: 248.31deg  R: -6.81deg  P: 94.56deg  aX: -0.48m/s2  aY: -9.80m/s2  aZ: -0.61m/s2 
 H: 248.25deg  R: -6.88deg  P: 94.56deg  aX: -0.97m/s2  aY: -9.95m/s2  aZ: -0.89m/s2 
 H: 248.19deg  R: -6.94deg  P: 94.56deg  aX: -1.35m/s2  aY: -9.24m/s2  aZ: -0.96m/s2 
 H: 248.19deg  R: -6.94deg  P: 94.56deg  aX: -1.07m/s2  aY: -9.50m/s2  aZ: -1.01m/s2 
 H: 248.44deg  R: -6.94deg  P: 94.63deg  aX: -1.12m/s2  aY: -9.70m/s2  aZ: -0.77m/s2 
 H: 248.69deg  R: -6.81deg  P: 94.63deg  aX: -1.65m/s2  aY: -9.79m/s2  aZ: -0.96m/s2 
 H: 249.25deg  R: -6.63deg  P: 94.56deg  aX: -1.99m/s2  aY: -9.88m/s2  aZ: -0.76m/s2 
 H: 249.44deg  R: -6.50deg  P: 94.38deg  aX: -1.42m/s2  aY: -9.15m/s2  aZ: -0.74m/s2 
 H: 249.63deg  R: -6.44deg  P: 94.19deg  aX: -1.08m/s2  aY: -9.38m/s2  aZ: -0.60m/s2 
 H: 249.88deg  R: -6.31deg  P: 94.13deg  aX: -1.32m/s2  aY: -10.13m/s2  aZ: -0.87m/s2 
 H: 250.00deg  R: -6.19deg  P: 94.00deg  aX: -1.24m/s2  aY: -9.89m/s2  aZ: -0.74m/s2 
