 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.21m/s2  aY: -9.42m/s2  aZ: -3.31m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.15m/s2  aY: -9.57m/s2  aZ: -3.29m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.39m/s2  aY: -9.01m/s2  aZ: -3.45m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.33m/s2  aY: -9.36m/s2  aZ: -3.34m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.08m/s2  aY: -9.62m/s2  aZ: -3.39m/s2 
 H: 11.44deg  R: -0.63deg  P: 110.19deg  aX: -0.25m/s2  aY: -9.58m/s2  aZ: -3.48m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.10m/s2  aY: -9.61m/s2  aZ: -3.27m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.54m/s2  aY: -9.14m/s2  aZ: -3.59m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.13deg  aX: -0.33m/s2  aY: -9.59m/s2  aZ: -3.41m/s2 
 H: 11.25deg  R: -0.63deg  P: 110.13deg  aX: -0.10m/s2  aY: -9.38m/s2  aZ: -3.09m/s2 
 H: 11.19deg  R: -0.63deg  P: 110.13deg  aX: -0.27m/s2  aY: -9.44m/s2  aZ: -3.41m/s2 
 H: 11.13deg  R: -0.69deg  P: 110.06deg  aX: 0.06m/s2  aY: -9.36m/s2  aZ: -3.20m/s2 
 H: 11.00deg  R: -0.69deg  P: 110.06deg  aX: -0.26m/s2  aY: -9.18m/s2  aZ: -3.49m/s2 
 H: 11.00deg  R: -0.69deg  P: 110.06deg  aX: -0.10m/s2  aY: -9.34m/s2  aZ: -3.48m/s2 
 H: 11.00deg  R: -0.69deg  P: 110.06deg  aX: -0.19m/s2  aY: -9.46m/s2  aZ: -3.41m/s2 
 H: 11.06deg  R: -0.69deg  P: 110.06deg  aX: -0.37m/s2  aY: -9.24m/s2  aZ: -3.47m/s2 
 H: 11.00deg  R: -0.69deg  P: 110.06deg  aX: -0.30m/s2  aY: -9.33m/s2  aZ: -3.37m/s2 
 H: 11.06deg  R: -0.69deg  P: 110.00deg  aX: -0.19m/s2  aY: -9.31m/s2  aZ: -3.22m/s2 
