 H: 91.13deg  R: -20.81deg  P: -22.56deg  aX: -3.42m/s2  aY: 3.41m/s2  aZ: 8.00m/s2 
 H: 91.13deg  R: -20.81deg  P: -22.56deg  aX: -3.25m/s2  aY: 3.83m/s2  aZ: 8.73m/s2 
 H: 91.13deg  R: -20.81deg  P: -22.56deg  aX: -3.06m/s2  aY: 3.62m/s2  aZ: 8.10m/s2 
 H: 91.06deg  R: -20.88deg  P: -22.50deg  aX: -2.90m/s2  aY: 3.56m/s2  aZ: 8.62m/s2 
 H: 91.06deg  R: -21.00deg  P: -22.44deg  aX: -3.69m/s2  aY: 3.36m/s2  aZ: 8.36m/s2 
 H: 91.00deg  R: -21.00deg  P: -22.50deg  aX: -3.39m/s2  aY: 3.36m/s2  aZ: 7.95m/s2 
 H: 90.94deg  R: -20.94deg  P: -22.44deg  aX: -3.07m/s2  aY: 3.75m/s2  aZ: 8.58m/s2 
 H: 90.94deg  R: -20.94deg  P: -22.44deg  aX: -3.36m/s2  aY: 3.43m/s2  aZ: 8.00m/s2 
 H: 90.88deg  R: -20.94deg  P: -22.50deg  aX: -3.08m/s2  aY: 3.56m/s2  aZ: 8.33m/s2 
 H: 90.88deg  R: -20.88deg  P: -22.56deg  aX: -3.11m/s2  aY: 3.84m/s2  aZ: 8.41m/s2 
 H: 90.88deg  R: -20.88deg  P: -22.63deg  aX: -2.93m/s2  aY: 3.66m/s2  aZ: 8.10m/s2 
 H: 91.00deg  R: -20.75deg  P: -22.75deg  aX: -3.30m/s2  aY: 3.80m/s2  aZ: 8.10m/s2 
 H: 91.06deg  R: -20.81deg  P: -22.81deg  aX: -3.45m/s2  aY: 3.65m/s2  aZ: 8.46m/s2 
 H: 91.19deg  R: -20.75deg  P: -22.88deg  aX: -3.73m/s2  aY: 3.79m/s2  aZ: 8.80m/s2 
 H: 91.25deg  R: -20.75deg  P: -22.94deg  aX: -3.27m/s2  aY: 3.55m/s2  aZ: 8.43m/s2 
 H: 91.44deg  R: -20.75deg  P: -23.00deg  aX: -3.44m/s2  aY: 3.66m/s2  aZ: 8.83m/s2 
 H: 91.56deg  R: -20.81deg  P: -23.00deg  aX: -3.66m/s2  aY: 3.34m/s2  aZ: 8.25m/s2 
 H: 91.63deg  R: -20.81deg  P: -23.00deg  aX: -3.30m/s2  aY: 3.40m/s2  aZ: 8.66m/s2 
 H: 91.75deg  R: -20.88deg  P: -23.00deg  aX: -3.46m/s2  aY: 3.41m/s2  aZ: 8.71m/s2 
 H: 91.81deg  R: -20.88deg  P: -23.00deg  aX: -3.73m/s2  aY: 3.36m/s2  aZ: 8.75m/s2 
 H: 91.81deg  R: -21.00deg  P: -23.06deg  aX: -3.63m/s2  aY: 3.79m/s2  aZ: 9.17m/s2 
 H: 91.75deg  R: -21.00deg  P: -23.13deg  aX: -3.54m/s2  aY: 3.49m/s2  aZ: 8.89m/s2 
 H: 91.63deg  R: -21.06deg  P: -23.19deg  aX: -3.66m/s2  aY: 3.53m/s2  aZ: 8.44m/s2 
 H: 91.56deg  R: -21.13deg  P: -23.19deg  aX: -3.26m/s2  aY: 3.65m/s2  aZ: 8.68m/s2 
 H: 91.50deg  R: -21.13deg  P: -23.19deg  aX: -3.39m/s2  aY: 3.77m/s2  aZ: 8.45m/s2 
 H: 91.38deg  R: -21.19deg  P: -23.19deg  aX: -3.19m/s2  aY: 3.47m/s2  aZ: 8.51m/s2 
 H: 91.25deg  R: -21.25deg  P: -23.19deg  aX: -3.63m/s2  aY: 3.63m/s2  aZ: 8.47m/s2 
 H: 91.13deg  R: -21.31deg  P: -23.19deg  aX: -3.11m/s2  aY: 3.74m/s2  aZ: 8.27m/s2 
 H: 91.00deg  R: -21.38deg  P: -23.19deg  aX: -3.40m/s2  aY: 4.09m/s2  aZ: 8.56m/s2 
 H: 90.94deg  R: -21.44deg  P: -23.19deg  aX: -3.36m/s2  aY: 3.89m/s2  aZ: 7.80m/s2 
 H: 90.88deg  R: -21.50deg  P: -23.25deg  aX: -3.21m/s2  aY: 3.88m/s2  aZ: 8.13m/s2 
 H: 90.81deg  R: -21.50deg  P: -23.25deg  aX: -3.33m/s2  aY: 3.79m/s2  aZ: 7.92m/s2 
 H: 90.81deg  R: -21.50deg  P: -23.31deg  aX: -3.40m/s2  aY: 3.78m/s2  aZ: 7.74m/s2 
 H: 90.81deg  R: -21.56deg  P: -23.31deg  aX: -3.71m/s2  aY: 3.85m/s2  aZ: 7.98m/s2 
 H: 90.88deg  R: -21.56deg  P: -23.44deg  aX: -3.25m/s2  aY: 3.65m/s2  aZ: 8.15m/s2 
 H: 90.88deg  R: -21.56deg  P: -23.44deg  aX: -3.36m/s2  aY: 3.38m/s2  aZ: 8.47m/s2 
 H: 90.88deg  R: -21.50deg  P: -23.50deg  aX: -3.56m/s2  aY: 3.58m/s2  aZ: 8.20m/s2 
 H: 90.88deg  R: -21.56deg  P: -23.56deg  aX: -3.58m/s2  aY: 3.78m/s2  aZ: 8.18m/s2 
 H: 90.88deg  R: -21.56deg  P: -23.63deg  aX: -3.60m/s2  aY: 3.86m/s2  aZ: 8.05m/s2 
 H: 90.81deg  R: -21.56deg  P: -23.75deg  aX: -3.40m/s2  aY: 3.99m/s2  aZ: 8.24m/s2 
 H: 90.81deg  R: -21.63deg  P: -23.81deg  aX: -3.69m/s2  aY: 3.85m/s2  aZ: 8.02m/s2 
 H: 90.81deg  R: -21.56deg  P: -23.88deg  aX: -3.16m/s2  aY: 3.81m/s2  aZ: 8.50m/s2 
 H: 90.75deg  R: -21.50deg  P: -24.06deg  aX: -3.64m/s2  aY: 4.22m/s2  aZ: 7.88m/s2 
 H: 90.69deg  R: -21.38deg  P: -24.13deg  aX: -3.07m/s2  aY: 3.98m/s2  aZ: 8.44m/s2 
 H: 90.69deg  R: -21.38deg  P: -24.13deg  aX: -3.81m/s2  aY: 4.27m/s2  aZ: 7.63m/s2 
 H: 90.56deg  R: -21.31deg  P: -24.25deg  aX: -3.74m/s2  aY: 3.85m/s2  aZ: 7.70m/s2 
 H: 90.00deg  R: -21.06deg  P: -24.31deg  aX: -4.11m/s2  aY: 3.38m/s2  aZ: 9.01m/s2 
 H: 89.06deg  R: -20.88deg  P: -24.44deg  aX: -3.15m/s2  aY: 3.74m/s2  aZ: 9.08m/s2 
 H: 88.81deg  R: -21.00deg  P: -24.38deg  aX: -3.65m/s2  aY: 3.86m/s2  aZ: 9.08m/s2 
 H: 88.63deg  R: -21.13deg  P: -24.38deg  aX: -3.92m/s2  aY: 3.79m/s2  aZ: 8.76m/s2 
 H: 88.56deg  R: -21.19deg  P: -24.31deg  aX: -2.76m/s2  aY: 4.49m/s2  aZ: 8.16m/s2 
 H: 88.50deg  R: -21.31deg  P: -24.19deg  aX: -2.87m/s2  aY: 4.64m/s2  aZ: 7.97m/s2 
 H: 88.44deg  R: -21.38deg  P: -24.00deg  aX: -3.22m/s2  aY: 4.77m/s2  aZ: 8.10m/s2 
 H: 88.38deg  R: -21.44deg  P: -23.81deg  aX: -3.34m/s2  aY: 4.94m/s2  aZ: 7.57m/s2 
