 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 2.94m/s2  aY: 8.93m/s2  aZ: 2.29m/s2 
 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 2.98m/s2  aY: 9.00m/s2  aZ: 2.00m/s2 
 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 3.11m/s2  aY: 9.05m/s2  aZ: 1.89m/s2 
 H: 148.88deg  R: 20.00deg  P: -79.63deg  aX: 3.24m/s2  aY: 9.03m/s2  aZ: 1.71m/s2 
 H: 148.88deg  R: 20.00deg  P: -79.63deg  aX: 3.18m/s2  aY: 9.15m/s2  aZ: 1.16m/s2 
 H: 148.88deg  R: 20.00deg  P: -79.63deg  aX: 3.57m/s2  aY: 9.02m/s2  aZ: 1.08m/s2 
 H: 148.81deg  R: 20.06deg  P: -79.63deg  aX: 3.38m/s2  aY: 9.00m/s2  aZ: 1.14m/s2 
 H: 148.81deg  R: 20.06deg  P: -79.69deg  aX: 3.46m/s2  aY: 9.10m/s2  aZ: 1.33m/s2 
 H: 148.75deg  R: 20.13deg  P: -79.75deg  aX: 3.69m/s2  aY: 9.01m/s2  aZ: 1.40m/s2 
 H: 148.75deg  R: 20.13deg  P: -79.75deg  aX: 3.29m/s2  aY: 8.76m/s2  aZ: 1.68m/s2 
 H: 148.69deg  R: 20.13deg  P: -79.75deg  aX: 3.10m/s2  aY: 8.87m/s2  aZ: 1.86m/s2 
 H: 148.69deg  R: 20.13deg  P: -79.75deg  aX: 3.20m/s2  aY: 8.85m/s2  aZ: 1.88m/s2 
 H: 148.69deg  R: 20.13deg  P: -79.75deg  aX: 3.55m/s2  aY: 8.98m/s2  aZ: 1.77m/s2 
 H: 148.75deg  R: 20.13deg  P: -79.75deg  aX: 3.44m/s2  aY: 8.95m/s2  aZ: 1.69m/s2 
 H: 148.75deg  R: 20.06deg  P: -79.75deg  aX: 3.36m/s2  aY: 8.83m/s2  aZ: 1.46m/s2 
 H: 148.81deg  R: 20.06deg  P: -79.69deg  aX: 3.32m/s2  aY: 8.91m/s2  aZ: 1.55m/s2 
 H: 148.81deg  R: 20.06deg  P: -79.69deg  aX: 3.51m/s2  aY: 9.01m/s2  aZ: 1.63m/s2 
 H: 148.81deg  R: 20.06deg  P: -79.69deg  aX: 3.53m/s2  aY: 8.95m/s2  aZ: 1.66m/s2 
 H: 148.81deg  R: 20.06deg  P: -79.69deg  aX: 3.38m/s2  aY: 8.90m/s2  aZ: 1.73m/s2 
 H: 148.81deg  R: 20.06deg  P: -79.69deg  aX: 3.36m/s2  aY: 8.90m/s2  aZ: 1.76m/s2 
 H: 148.81deg  R: 20.06deg  P: -79.63deg  aX: 3.32m/s2  aY: 8.76m/s2  aZ: 1.62m/s2 
 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 3.14m/s2  aY: 9.00m/s2  aZ: 1.59m/s2 
 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 3.25m/s2  aY: 8.95m/s2  aZ: 1.58m/s2 
 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 3.39m/s2  aY: 9.00m/s2  aZ: 1.57m/s2 
