2m/s2  aY: -9.77m/s2  aZ: -0.85m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.44deg  aX: -0.11m/s2  aY: -10.28m/s2  aZ: -0.62m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.31deg  aX: -0.13m/s2  aY: -9.87m/s2  aZ: -0.64m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.31deg  aX: -0.32m/s2  aY: -9.56m/s2  aZ: -0.87m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.31deg  aX: -0.47m/s2  aY: -9.70m/s2  aZ: -0.98m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.38deg  aX: -0.21m/s2  aY: -9.86m/s2  aZ: -1.07m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.38deg  aX: -0.01m/s2  aY: -10.03m/s2  aZ: -0.83m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.38deg  aX: -0.09m/s2  aY: -10.05m/s2  aZ: -0.73m/s2 
 H: 286.50deg  R: -0.88deg  P: 94.38deg  aX: -0.15m/s2  aY: -10.03m/s2  aZ: -0.88m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.38deg  aX: -0.36m/s2  aY: -9.67m/s2  aZ: -1.02m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.44deg  aX: -0.30m/s2  aY: -9.94m/s2  aZ: -0.99m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.50deg  aX: -0.19m/s2  aY: -10.01m/s2  aZ: -0.71m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.50deg  aX: -0.25m/s2  aY: -10.06m/s2  aZ: -0.57m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.44deg  aX: -0.23m/s2  aY: -9.89m/s2  aZ: -0.68m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.44deg  aX: -0.20m/s2  aY: -9.65m/s2  aZ: -0.91m/s2 
 H: 286.50deg  R: -0.75deg  P: 94.44deg  aX: -0.30m/s2  aY: -9.79m/s2  aZ: -0.94m/s2 
 H: 286.44deg  R: -0.81deg  P: 94.50deg  aX: -0.33m/s2  aY: -10.07m/s2  aZ: -1.23m/s2 
 H: 286.44deg  R: -0.81deg  P: 94.50deg  aX: -0.22m/s2  aY: -9.86m/s2  aZ: -1.10m/s2 
 H: 286.44deg  R: -0.81deg  P: 94.50deg  aX: -0.23m/s2  aY: -9.87m/s2  aZ: -0.92m/s2 
 H: 286.44deg  R: -0.81deg  P: 94.50deg  aX: -0.14m/s2  aY: -9.83m/s2  aZ: -0.67m/s2 
 H: 286.44deg  R: -0.81deg  P: 94.50deg  aX: -0.15m/s2  aY: -9.81m/s2  aZ: -0.92m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.50deg  aX: -0.29m/s2  aY: -9.87m/s2  aZ: -0.92m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.56deg  aX: -0.48m/s2  aY: -10.12m/s2  aZ: -0.67m/s2 
 H: 286.44deg  R: -0.81deg  P: 94.50deg  aX: -0.10m/s2  aY: -9.76m/s2  aZ: -0.92m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.44deg  aX: -0.04m/s2  aY: -9.68m/s2  aZ: -0.89m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.44deg  aX: -0.03m/s2  aY: -9.95m/s2  aZ: -0.97m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.44deg  aX: -0.19m/s2  aY: -9.88m/s2  aZ: -0.91m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.50deg  aX: -0.24m/s2  aY: -9.85m/s2  aZ: -0.94m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.50deg  aX: -0.26m/s2  aY: -9.75m/s2  aZ: -1.00m/s2 
 H: 286.44deg  R: -0.88deg  P: 94.56deg  aX: -0.12m/s2  aY: -9.90m/s2  aZ: -0.96m/s2 
 H: 286.50deg  R: -0.88deg  P: 94.56deg  aX: -0.21m/s2  aY: -10.13m/s2  aZ: -0.58m/s2 
 H: 286.50deg  R: -0.88deg  P: 94.50deg  aX: -0.28m/s2  aY: -9.98m/s2  aZ: -0.64m/s2 
 H: 286.50deg  R: -0.88deg  P: 94.50deg  aX: -0.35m/s2  aY: -9.72m/s2  aZ: -0.94m/s2 
 H: 286.50deg  R: -0.88deg  P: 94.50deg  aX: -0.48m/s2  aY: -9.68m/s2  aZ: -1.14m/s2 
 H: 286.50deg  R: -0.88deg  P: 94.50deg  aX: -0.31m/s2  aY: -9.89m/s2  aZ: -0.98m/s2 
 H: 286.44deg  R: -0.88deg  P: 94.50deg  aX: 0.05m/s2  aY: -9.99m/s2  aZ: -0.81m/s2 
 H: 286.38deg  R: -0.81deg  P: 94.50deg  aX: 0.13m/s2  aY: -10.00m/s2  aZ: -0.79m/s2 
 H: 286.31deg  R: -0.81deg  P: 94.50deg  aX: -0.10m/s2  aY: -9.90m/s2  aZ: -0.97m/s2 
 H: 286.38deg  R: -0.88deg  P: 94.50deg  aX: -0.29m/s2  aY: -9.72m/s2  aZ: -1.15m/s2 
 H: 286.38deg  R: -0.88deg  P: 94.56deg  aX: -0.33m/s2  aY: -9.83m/s2  aZ: -0.94m/s2 
 H: 286.44deg  R: -0.81deg  P: 94.56deg  aX: -0.26m/s2  aY: -9.96m/s2  aZ: -0.58m/s2 
 H: 286.38deg  R: -0.81deg  P: 94.50deg  aX: -0.13m/s2  aY: -9.83m/s2  aZ: -0.67m/s2 
 H: 286.38deg  R: -0.81deg  P: 94.50deg  aX: -0.15m/s2  aY: -9.75m/s2  aZ: -1.00m/s2 
