9deg  R: 1.44deg  P: 59.63deg  aX: 0.87m/s2  aY: -8.38m/s2  aZ: 4.98m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: -0.01m/s2  aY: -8.58m/s2  aZ: 4.63m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: 0.01m/s2  aY: -8.52m/s2  aZ: 4.62m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: -0.01m/s2  aY: -8.45m/s2  aZ: 4.64m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: 0.01m/s2  aY: -8.59m/s2  aZ: 4.65m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: 0.01m/s2  aY: -8.61m/s2  aZ: 4.55m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: -0.10m/s2  aY: -8.62m/s2  aZ: 4.56m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: 0.00m/s2  aY: -8.63m/s2  aZ: 4.58m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.03m/s2  aY: -8.58m/s2  aZ: 4.65m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.03m/s2  aY: -8.57m/s2  aZ: 4.59m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.04m/s2  aY: -8.55m/s2  aZ: 4.62m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.01m/s2  aY: -8.57m/s2  aZ: 4.62m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: 0.00m/s2  aY: -8.56m/s2  aZ: 4.63m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.08m/s2  aY: -8.58m/s2  aZ: 4.57m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.06m/s2  aY: -8.58m/s2  aZ: 4.61m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.01m/s2  aY: -8.60m/s2  aZ: 4.65m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.01m/s2  aY: -8.55m/s2  aZ: 4.59m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.10m/s2  aY: -8.60m/s2  aZ: 4.62m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.05m/s2  aY: -8.57m/s2  aZ: 4.63m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.01m/s2  aY: -8.56m/s2  aZ: 4.66m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: 0.05m/s2  aY: -8.55m/s2  aZ: 4.66m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: 0.00m/s2  aY: -8.60m/s2  aZ: 4.53m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.13m/s2  aY: -8.69m/s2  aZ: 4.57m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: -0.08m/s2  aY: -8.60m/s2  aZ: 4.59m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.94deg  aX: 0.00m/s2  aY: -8.56m/s2  aZ: 4.60m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.88deg  aX: 0.02m/s2  aY: -8.56m/s2  aZ: 4.69m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.88deg  aX: -0.10m/s2  aY: -8.52m/s2  aZ: 4.68m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.88deg  aX: -0.02m/s2  aY: -8.47m/s2  aZ: 4.70m/s2 
 H: 142.50deg  R: -0.25deg  P: 60.88deg  aX: -0.09m/s2  aY: -8.57m/s2  aZ: 4.67m/s2 
 H: 142.56deg  R: -0.19deg  P: 60.94deg  aX: -0.15m/s2  aY: -8.54m/s2  aZ: 4.61m/s2 
 H: 142.63deg  R: -0.19deg  P: 61.00deg  aX: 0.20m/s2  aY: -8.62m/s2  aZ: 4.36m/s2 
 H: 142.69deg  R: -0.13deg  P: 61.06deg  aX: 0.20m/s2  aY: -8.62m/s2  aZ: 4.49m/s2 
 H: 142.69deg  R: -0.13deg  P: 61.13deg  aX: 0.10m/s2  aY: -8.78m/s2  aZ: 4.56m/s2 
 H: 142.75deg  R: -0.06deg  P: 61.19deg  aX: -0.07m/s2  aY: -8.80m/s2  aZ: 4.45m/s2 
 H: 142.69deg  R: -0.06deg  P: 61.25deg  aX: 0.15m/s2  aY: -8.76m/s2  aZ: 4.34m/s2 
 H: 142.69deg  R: -0.13deg  P: 61.31deg  aX: -0.20m/s2  aY: -8.58m/s2  aZ: 4.36m/s2 
 H: 142.69deg  R: -0.13deg  P: 61.31deg  aX: -0.13m/s2  aY: -8.52m/s2  aZ: 4.48m/s2 
 H: 142.75deg  R: -0.19deg  P: 61.25deg  aX: -0.06m/s2  aY: -8.56m/s2  aZ: 4.58m/s2 
 H: 142.88deg  R: -0.06deg  P: 61.13deg  aX: 0.05m/s2  aY: -8.49m/s2  aZ: 4.63m/s2 
 H: 142.88deg  R: -0.06deg  P: 61.19deg  aX: 0.26m/s2  aY: -8.68m/s2  aZ: 4.65m/s2 
 H: 142.94deg  R: 0.00deg  P: 61.19deg  aX: -0.03m/s2  aY: -8.66m/s2  aZ: 4.46m/s2 
 H: 143.00deg  R: 0.00deg  P: 61.19deg  aX: -0.08m/s2  aY: -8.47m/s2  aZ: 4.49m/s2 
 H: 143.00deg  R: 0.00deg  P: 61.25deg  aX: -0.05m/s2  aY: -8.54m/s2  aZ: 4.72m/s2 
 H: 143.06deg  R: 0.00deg  P: 61.25deg  aX: 0.11m/s2  aY: -8.73m/s2  aZ: 4.64m/s2 
 H: 143.06deg  R: 0.06deg  P: 61.31deg  aX: 0.17m/s2  aY: -8.78m/s2  aZ: 4.21m/s2 
 H: 143.13deg  R: 0.06deg  P: 61.31deg  aX: 0.00m/s2  aY: -8.78m/s2  aZ: 4.26m/s2 
 H: 143.13deg  R: 0.06deg  P: 61.25deg  aX: 0.03m/s2  aY: -8.49m/s2  aZ: 4.69m/s2 
 H: 143.19deg  R: 0.06deg  P: 61.19deg  aX: -0.11m/s2  aY: -8.59m/s2  aZ: 4.54m/s2 
 H: 143.25deg  R: 0.13deg  P: 61.13deg  aX: -0.27m/s2  aY: -8.52m/s2  aZ: 4.47m/s2 
 H: 143.31deg  R: -0.13deg  P: 61.38deg  aX: -1.05m/s2  aY: -8.55m/s2  aZ: 4.93m/s2 
 H: 143.31deg  R: -0.19deg  P: 61.50deg  aX: -0.06m/s2  aY: -8.39m/s2  aZ: 4.88m/s2 
 H: 143.44deg  R: -0.13deg  P: 61.75deg  aX: -0.21m/s2  aY: -8.74m/s2  aZ: 4.25m/s2 
 H: 143.38deg  R: -0.06deg  P: 61.94deg  aX: 0.06m/s2  aY: -8.60m/s2  aZ: 4.37m/s2 
 H: 143.31deg  R: 0.00deg  P: 62.13deg  aX: 0.18m/s2  aY: -8.52m/s2  aZ: 4.90m/s2 
 H: 143.31deg  R: 0.00deg  P: 62.31deg  aX: 0.22m/s2  aY: -8.87m/s2  aZ: 4.43m/s2 
 H: 143.44deg  R: 0.13deg  P: 62.56deg  aX: -0.31m/s2  aY: -8.68m/s2  aZ: 4.38m/s2 
 H: 143.50deg  R: 0.19deg  P: 62.63deg  aX: -0.41m/s2  aY: -9.08m/s2  aZ: 4.13m/s2 
 H: 143.50deg  R: 0.31deg  P: 62.75deg  aX: -0.24m/s2  aY: -8.92m/s2  aZ: 4.08m/s2 
 H: 143.50deg  R: 0.44deg  P: 62.81deg  aX: 0.09m/s2  aY: -8.72m/s2  aZ: 4.45m/s2 
 H: 143.44deg  R: 0.56deg  P: 62.94deg  aX: 0.28m/s2  aY: -8.96m/s2  aZ: 4.33m/s2 
 H: 143.50deg  R: 0.75deg  P: 63.00deg  aX: -0.02m/s2  aY: -8.67m/s2  aZ: 3.73m/s2 
 H: 143.44deg  R: 0.88deg  P: 63.06deg  aX: 0.22m/s2  aY: -8.69m/s2  aZ: 3.97m/s2 
 H: 143.50deg  R: 1.00deg  P: 63.13deg  aX: 0.62m/s2  aY: -8.90m/s2  aZ: 4.23m/s2 
 H: 143.56deg  R: 1.06deg  P: 63.13deg  aX: 0.25m/s2  aY: -9.00m/s2  aZ: 4.47m/s2 
 H: 143.63deg  R: 1.19deg  P: 63.06deg  aX: -0.08m/s2  aY: -9.06m/s2  aZ: 4.22m/s2 
 H: 143.63deg  R: 1.31deg  P: 63.00deg  aX: 0.05m/s2  aY: -8.59m/s2  aZ: 3.92m/s2 
 H: 143.63deg  R: 1.44deg  P: 62.94deg  aX: 0.28m/s2  aY: -8.80m/s2  aZ: 4.09m/s2 
 H: 143.63deg  R: 1.50deg  P: 62.88deg  aX: 0.73m/s2  aY: -8.50m/s2  aZ: 4.20m/s2 
 H: 143.63deg  R: 1.63deg  P: 62.81deg  aX: 0.02m/s2  aY: -8.67m/s2  aZ: 4.66m/s2 
 H: 143.63deg  R: 1.69deg  P: 62.81deg  aX: 0.17m/s2  aY: -8.53m/s2  aZ: 4.34m/s2 
 H: 144.31deg  R: 2.31deg  P: 63.06deg  aX: 0.53m/s2  aY: -8.74m/s2  aZ: 4.25m/s2 
 H: 144.50deg  R: 2.50deg  P: 63.19deg  aX: 0.42m/s2  aY: -8.94m/s2  aZ: 4.10m/s2 
 H: 144.56deg  R: 2.63deg  P: 63.25deg  aX: 0.32m/s2  aY: -8.86m/s2  aZ: 4.03m/s2 
 H: 144.69deg  R: 2.75deg  P: 63.25deg  aX: 0.51m/s2  aY: -8.81m/s2  aZ: 4.16m/s2 
 H: 144.75deg  R: 2.81deg  P: 63.31deg  aX: 0.61m/s2  aY: -8.87m/s2  aZ: 4.26m/s2 
 H: 144.81deg  R: 2.94deg  P: 63.31deg  aX: 0.60m/s2  aY: -8.92m/s2  aZ: 4.31m/s2 
 H: 144.88deg  R: 3.06deg  P: 63.31deg  aX: 0.59m/s2  aY: -8.80m/s2  aZ: 4.30m/s2 
 H: 144.94deg  R: 3.13deg  P: 63.25deg  aX: 0.57m/s2  aY: -8.77m/s2  aZ: 4.21m/s2 
 H: 145.00deg  R: 3.25deg  P: 63.25deg  aX: 0.60m/s2  aY: -8.65m/s2  aZ: 4.25m/s2 
 H: 145.06deg  R: 3.38deg  P: 63.25deg  aX: 0.61m/s2  aY: -8.73m/s2  aZ: 4.30m/s2 
 H: 145.06deg  R: 3.44deg  P: 63.25deg  aX: 0.59m/s2  aY: -8.71m/s2  aZ: 4.36m/s2 
 H: 145.13deg  R: 3.56deg  P: 63.25deg  aX: 0.64m/s2  aY: -8.66m/s2  aZ: 4.37m/s2 
 H: 145.19deg  R: 3.63deg  P: 63.25deg  aX: 0.72m/s2  aY: -8.74m/s2  aZ: 4.16m/s2 
 H: 145.25deg  R: 3.75deg  P: 63.31deg  aX: 0.68m/s2  aY: -8.68m/s2  aZ: 4.20m/s2 
 H: 145.31deg  R: 3.81deg  P: 63.38deg  aX: 0.55m/s2  aY: -8.69m/s2  aZ: 4.24m/s2 
 H: 145.31deg  R: 3.88deg  P: 63.38deg  aX: 0.78m/s2  aY: -8.78m/s2  aZ: 4.20m/s2 
 H: 145.38deg  R: 3.94deg  P: 63.44deg  aX: 0.78m/s2  aY: -8.80m/s2  aZ: 4.20m/s2 
 H: 145.44deg  R: 4.06deg  P: 63.50deg  aX: 0.58m/s2  aY: -8.85m/s2  aZ: 4.06m/s2 
 H: 145.44deg  R: 4.06deg  P: 63.56deg  aX: 0.67m/s2  aY: -8.81m/s2  aZ: 3.99m/s2 
 H: 145.44deg  R: 4.13deg  P: 63.56deg  aX: 0.99m/s2  aY: -8.57m/s2  aZ: 4.25m/s2 
 H: 145.50deg  R: 4.19deg  P: 63.56deg  aX: 0.91m/s2  aY: -8.60m/s2  aZ: 4.25m/s2 
 H: 145.56deg  R: 4.25deg  P: 63.63deg  aX: 0.55m/s2  aY: -8.79m/s2  aZ: 4.17m/s2 
 H: 145.50deg  R: 4.38deg  P: 63.63deg  aX: 0.82m/s2  aY: -8.63m/s2  aZ: 4.20m/s2 
 H: 145.56deg  R: 4.44deg  P: 63.69deg  aX: 0.77m/s2  aY: -8.77m/s2  aZ: 4.15m/s2 
 H: 145.56deg  R: 4.44deg  P: 63.69deg  aX: 0.79m/s2  aY: -8.77m/s2  aZ: 4.25m/s2 
 H: 145.63deg  R: 4.50deg  P: 63.75deg  aX: 0.85m/s2  aY: -8.75m/s2  aZ: 4.20m/s2 
 H: 145.63deg  R: 4.56deg  P: 63.81deg  aX: 0.83m/s2  aY: -8.79m/s2  aZ: 4.03m/s2 
 H: 145.63deg  R: 4.56deg  P: 63.88deg  aX: 0.81m/s2  aY: -8.73m/s2  aZ: 4.10m/s2 
 H: 145.69deg  R: 4.63deg  P: 63.94deg  aX: 0.88m/s2  aY: -8.81m/s2  aZ: 4.13m/s2 
 H: 145.69deg  R: 4.63deg  P: 63.94deg  aX: 0.81m/s2  aY: -8.81m/s2  aZ: 4.14m/s2 
 H: 145.69deg  R: 4.63deg  P: 63.94deg  aX: 0.70m/s2  aY: -8.76m/s2  aZ: 4.02m/s2 
 H: 145.75deg  R: 4.63deg  P: 64.00deg  aX: 0.73m/s2  aY: -8.78m/s2  aZ: 4.09m/s2 
 H: 145.75deg  R: 4.69deg  P: 64.00deg  aX: 0.88m/s2  aY: -8.82m/s2  aZ: 4.19m/s2 
 H: 145.75deg  R: 4.69deg  P: 64.00deg  aX: 0.83m/s2  aY: -8.81m/s2  aZ: 4.03m/s2 
 H: 145.75deg  R: 4.69deg  P: 64.00deg  aX: 0.82m/s2  aY: -8.72m/s2  aZ: 4.02m/s2 
 H: 145.81deg  R: 4.69deg  P: 64.00deg  aX: 0.64m/s2  aY: -8.82m/s2  aZ: 4.05m/s2 
 H: 145.81deg  R: 4.69deg  P: 63.94deg  aX: 0.77m/s2  aY: -8.81m/s2  aZ: 4.17m/s2 
 H: 145.81deg  R: 4.75deg  P: 63.88deg  aX: 0.96m/s2  aY: -8.76m/s2  aZ: 4.22m/s2 
 H: 145.81deg  R: 4.75deg  P: 63.88deg  aX: 0.91m/s2  aY: -8.73m/s2  aZ: 4.11m/s2 
 H: 145.75deg  R: 4.75deg  P: 63.81deg  aX: 0.81m/s2  aY: -8.69m/s2  aZ: 4.13m/s2 
 H: 145.75deg  R: 4.75deg  P: 63.81deg  aX: 0.80m/s2  aY: -8.80m/s2  aZ: 4.24m/s2 
 H: 145.75deg  R: 4.75deg  P: 63.75deg  aX: 0.82m/s2  aY: -8.75m/s2  aZ: 4.25m/s2 
 H: 145.75deg  R: 4.75deg  P: 63.75deg  aX: 0.92m/s2  aY: -8.77m/s2  aZ: 4.16m/s2 
 H: 145.75deg  R: 4.75deg  P: 63.69deg  aX: 0.77m/s2  aY: -8.67m/s2  aZ: 4.17m/s2 
 H: 145.75deg  R: 4.75deg  P: 63.69deg  aX: 0.66m/s2  aY: -8.60m/s2  aZ: 4.25m/s2 
 H: 145.75deg  R: 4.75deg  P: 63.69deg  aX: 0.90m/s2  aY: -8.60m/s2  aZ: 4.43m/s2 
 H: 145.75deg  R: 4.75deg  P: 63.69deg  aX: 0.91m/s2  aY: -8.67m/s2  aZ: 4.48m/s2 
 H: 145.69deg  R: 4.75deg  P: 63.75deg  aX: 0.62m/s2  aY: -8.75m/s2  aZ: 4.13m/s2 
 H: 145.69deg  R: 4.81deg  P: 63.81deg  aX: 0.64m/s
