 H: 141.38deg  R: 0.00deg  P: 51.69deg  aX: -0.06m/s2  aY: -7.74m/s2  aZ: 6.02m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.69deg  aX: -0.03m/s2  aY: -7.72m/s2  aZ: 6.05m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.69deg  aX: 0.10m/s2  aY: -7.73m/s2  aZ: 6.02m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.69deg  aX: -0.05m/s2  aY: -7.84m/s2  aZ: 5.97m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.75deg  aX: -0.11m/s2  aY: -7.80m/s2  aZ: 6.09m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.75deg  aX: 0.10m/s2  aY: -7.68m/s2  aZ: 5.99m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.75deg  aX: 0.17m/s2  aY: -7.71m/s2  aZ: 6.06m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.75deg  aX: 0.14m/s2  aY: -7.73m/s2  aZ: 6.03m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.81deg  aX: -0.01m/s2  aY: -7.88m/s2  aZ: 5.99m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.81deg  aX: -0.14m/s2  aY: -7.91m/s2  aZ: 5.92m/s2 
 H: 141.38deg  R: -0.06deg  P: 51.81deg  aX: -0.11m/s2  aY: -7.86m/s2  aZ: 5.91m/s2 
 H: 141.38deg  R: -0.06deg  P: 51.88deg  aX: 0.04m/s2  aY: -7.74m/s2  aZ: 6.03m/s2 
 H: 141.38deg  R: -0.06deg  P: 51.81deg  aX: 0.05m/s2  aY: -7.74m/s2  aZ: 6.02m/s2 
 H: 141.38deg  R: -0.06deg  P: 51.81deg  aX: -0.11m/s2  aY: -7.77m/s2  aZ: 5.92m/s2 
 H: 141.38deg  R: -0.06deg  P: 51.88deg  aX: 0.00m/s2  aY: -7.77m/s2  aZ: 5.95m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: 0.07m/s2  aY: -7.78m/s2  aZ: 6.00m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: -0.06m/s2  aY: -7.76m/s2  aZ: 6.06m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: 0.01m/s2  aY: -7.81m/s2  aZ: 5.97m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: -0.02m/s2  aY: -7.81m/s2  aZ: 5.98m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: -0.01m/s2  aY: -7.86m/s2  aZ: 5.96m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: 0.01m/s2  aY: -7.76m/s2  aZ: 5.98m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: 0.01m/s2  aY: -7.79m/s2  aZ: 6.09m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: -0.03m/s2  aY: -7.77m/s2  aZ: 6.00m/s2 
