 H: 297.81deg  R: 5.19deg  P: 100.75deg  aX: 0.87m/s2  aY: -9.78m/s2  aZ: -2.07m/s2 
 H: 297.69deg  R: 5.06deg  P: 100.69deg  aX: 0.88m/s2  aY: -9.74m/s2  aZ: -1.88m/s2 
 H: 297.69deg  R: 5.00deg  P: 100.69deg  aX: 0.41m/s2  aY: -9.35m/s2  aZ: -1.66m/s2 
 H: 297.69deg  R: 5.00deg  P: 100.63deg  aX: 0.60m/s2  aY: -9.86m/s2  aZ: -1.61m/s2 
 H: 297.69deg  R: 5.06deg  P: 100.63deg  aX: 0.85m/s2  aY: -10.05m/s2  aZ: -2.06m/s2 
 H: 297.75deg  R: 5.13deg  P: 100.63deg  aX: 0.87m/s2  aY: -10.30m/s2  aZ: -1.95m/s2 
 H: 297.81deg  R: 5.19deg  P: 100.63deg  aX: 1.11m/s2  aY: -9.77m/s2  aZ: -1.69m/s2 
 H: 297.75deg  R: 5.25deg  P: 100.63deg  aX: 0.74m/s2  aY: -9.45m/s2  aZ: -1.56m/s2 
 H: 297.75deg  R: 5.25deg  P: 100.69deg  aX: 1.32m/s2  aY: -9.86m/s2  aZ: -1.42m/s2 
 H: 297.75deg  R: 5.31deg  P: 100.81deg  aX: 1.39m/s2  aY: -9.92m/s2  aZ: -1.32m/s2 
 H: 297.81deg  R: 5.38deg  P: 101.00deg  aX: 0.87m/s2  aY: -9.92m/s2  aZ: -1.68m/s2 
 H: 297.81deg  R: 5.38deg  P: 101.19deg  aX: 1.01m/s2  aY: -9.81m/s2  aZ: -1.81m/s2 
 H: 297.75deg  R: 5.38deg  P: 101.50deg  aX: 0.91m/s2  aY: -9.81m/s2  aZ: -2.04m/s2 
 H: 297.75deg  R: 5.38deg  P: 101.56deg  aX: 1.29m/s2  aY: -9.83m/s2  aZ: -2.08m/s2 
 H: 297.63deg  R: 5.31deg  P: 101.94deg  aX: 1.67m/s2  aY: -10.24m/s2  aZ: -1.50m/s2 
 H: 297.69deg  R: 5.31deg  P: 102.06deg  aX: 0.56m/s2  aY: -9.89m/s2  aZ: -2.45m/s2 
 H: 297.56deg  R: 5.19deg  P: 102.25deg  aX: 1.02m/s2  aY: -9.62m/s2  aZ: -2.25m/s2 
 H: 297.50deg  R: 5.19deg  P: 102.38deg  aX: 1.08m/s2  aY: -9.99m/s2  aZ: -2.21m/s2 
 H: 297.50deg  R: 5.13deg  P: 102.50deg  aX: 0.97m/s2  aY: -10.14m/s2  aZ: -2.10m/s2 
 H: 297.44deg  R: 5.06deg  P: 102.56deg  aX: 0.77m/s2  aY: -9.60m/s2  aZ: -2.14m/s2 
 H: 297.44deg  R: 5.06deg  P: 102.69deg  aX: 0.95m/s2  aY: -10.11m/s2  aZ: -1.91m/s2 
 H: 297.44deg  R: 5.06deg  P: 102.75deg  aX: 0.90m/s2  aY: -9.78m/s2  aZ: -2.33m/s2 
