eg  P: 99.81deg  aX: -0.85m/s2  aY: -8.18m/s2  aZ: -1.87m/s2 
 H: 300.94deg  R: 1.44deg  P: 109.06deg  aX: 0.19m/s2  aY: -9.65m/s2  aZ: -3.09m/s2 
 H: 300.94deg  R: 1.44deg  P: 109.06deg  aX: 0.37m/s2  aY: -10.02m/s2  aZ: -3.25m/s2 
 H: 300.94deg  R: 1.44deg  P: 109.00deg  aX: 0.47m/s2  aY: -9.32m/s2  aZ: -3.39m/s2 
 H: 300.94deg  R: 1.44deg  P: 108.94deg  aX: 0.13m/s2  aY: -9.17m/s2  aZ: -3.40m/s2 
 H: 300.88deg  R: 1.44deg  P: 108.88deg  aX: 0.21m/s2  aY: -9.44m/s2  aZ: -3.16m/s2 
 H: 300.88deg  R: 1.44deg  P: 108.81deg  aX: 0.40m/s2  aY: -9.80m/s2  aZ: -3.41m/s2 
 H: 300.81deg  R: 1.44deg  P: 108.69deg  aX: 0.36m/s2  aY: -9.25m/s2  aZ: -3.19m/s2 
 H: 300.75deg  R: 1.44deg  P: 108.63deg  aX: 0.28m/s2  aY: -9.25m/s2  aZ: -3.08m/s2 
 H: 300.75deg  R: 1.44deg  P: 108.56deg  aX: 0.12m/s2  aY: -9.36m/s2  aZ: -2.94m/s2 
 H: 300.69deg  R: 1.38deg  P: 108.50deg  aX: 0.42m/s2  aY: -9.43m/s2  aZ: -3.16m/s2 
 H: 300.75deg  R: 1.44deg  P: 108.50deg  aX: 0.29m/s2  aY: -9.74m/s2  aZ: -3.37m/s2 
 H: 300.75deg  R: 1.44deg  P: 108.44deg  aX: 0.07m/s2  aY: -9.35m/s2  aZ: -3.07m/s2 
 H: 300.69deg  R: 1.38deg  P: 108.50deg  aX: 0.50m/s2  aY: -9.42m/s2  aZ: -2.96m/s2 
 H: 300.75deg  R: 1.44deg  P: 108.50deg  aX: 0.21m/s2  aY: -9.20m/s2  aZ: -3.09m/s2 
 H: 300.88deg  R: 1.50deg  P: 108.56deg  aX: 0.44m/s2  aY: -9.82m/s2  aZ: -3.28m/s2 
 H: 300.88deg  R: 1.50deg  P: 108.56deg  aX: 0.27m/s2  aY: -9.16m/s2  aZ: -3.07m/s2 
 H: 300.88deg  R: 1.50deg  P: 108.69deg  aX: 0.20m/s2  aY: -9.80m/s2  aZ: -3.05m/s2 
 H: 300.88deg  R: 1.50deg  P: 108.81deg  aX: 0.45m/s2  aY: -9.47m/s2  aZ: -3.29m/s2 
 H: 300.88deg  R: 1.50deg  P: 108.88deg  aX: 0.13m/s2  aY: -9.46m/s2  aZ: -3.10m/s2 
 H: 300.88deg  R: 1.50deg  P: 108.94deg  aX: 0.04m/s2  aY: -9.36m/s2  aZ: -3.38m/s2 
 H: 300.81deg  R: 1.44deg  P: 109.06deg  aX: 0.38m/s2  aY: -9.39m/s2  aZ: -3.24m/s2 
 H: 300.81deg  R: 1.44deg  P: 109.19deg  aX: 0.22m/s2  aY: -9.51m/s2  aZ: -3.21m/s2 
 H: 300.88deg  R: 1.50deg  P: 109.31deg  aX: 0.26m/s2  aY: -9.16m/s2  aZ: -3.41m/s2 
 H: 300.81deg  R: 1.44deg  P: 109.50deg  aX: 0.12m/s2  aY: -9.64m/s2  aZ: -3.38m/s2 
 H: 300.75deg  R: 1.31deg  P: 109.63deg  aX: 0.28m/s2  aY: -9.77m/s2  aZ: -3.11m/s2 
 H: 300.63deg  R: 1.25deg  P: 109.69deg  aX: 0.40m/s2  aY: -9.29m/s2  aZ: -3.80m/s2 
 H: 300.56deg  R: 1.25deg  P: 109.69deg  aX: 0.05m/s2  aY: -9.93m/s2  aZ: -3.18m/s2 
 H: 300.63deg  R: 1.25deg  P: 109.63deg  aX: 0.30m/s2  aY: -9.66m/s2  aZ: -3.44m/s2 
 H: 300.63deg  R: 1.25deg  P: 109.63deg  aX: 0.18m/s2  aY: -9.39m/s2  aZ: -3.41m/s2 
 H: 300.56deg  R: 1.19deg  P: 109.56deg  aX: 0.46m/s2  aY: -9.26m/s2  aZ: -3.5
